original_ADDRESS,original_STREET NUMBER FROM,original_STREET NUMBER TO,original_DIRECTION,original_STREET NAME,original_STREET TYPE,original_TANK TYPE,original_FACILITY ID,original_OWNER,original_FACILITY NAME,original_Tank ID,original_TANK MATERIAL,original_TANK CONSTRUCTION,original_TANK PRODUCT,original_TANK CAPACITY,original_INSTALLATION DATE,original_REMOVAL DATE,original_LAST USED DATE,original_COMMENT,original_DATA SOURCE,original_LATITUDE,original_LONGITUDE,original_LOCATION,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county_code,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
1735 W HARRISON ST,1735,,W,HARRISON,ST,ABOVEGROUND STORAGE TANK,1735WHARRIS,RUSH HOSPITAL/PROFESSION BLDG 228,COHN RESEARCH BUILDING,,,STEEL,DIESEL,NO. OF TANKS: 2 (2-275 GALLONS),,,,"DATE OF REPORT: 03/31/2000 3/31/00: INSTALLED TWO 275-GAL STEEL, SW DIESEL NON-DISP. ASTS.",HISTORIC DEPT.OF ENVIRONMENT,41.87400996780771,-87.67045009030704,POINT (-87.67045009030704 41.87400996780771),0,"Rush University Medical Center, 1653 West Congress Parkway, Chicago, IL 60612, United States of America",41.873526049999995,-87.66910117417416,Rush University Medical Center,1653,West Congress Parkway,60612,Illinois Medical District,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1355 E 93RD ST,1355,1355,E,93RD,ST,UNDERGROUND STORAGE TANK,2015124,See Environmental Permit Dataset,A.FINKL & SONS CO/INDUSTRIAL BLDG,0002,,,DIESEL,4000,,,,"1355 E 93RD ST, REMOVED 08/08/00,  Historic data from former Dept. of Environment [ Stage 2: E; Associated Permit Numbers: 105524; ]",DEPT. OF PUBLIC HEALTH,41.72580773793058,-87.59071954121139,POINT (-87.59071954121139 41.72580773793058),0,"Finkl Steel, 1355 East 93rd Street, Chicago, IL 60619, United States of America",41.727337399999996,-87.5907642207156,Finkl Steel,1355,East 93rd Street,60619,,Burnside,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10301 S HALSTED ST,10301,10301,S,HALSTED,ST,UNDERGROUND STORAGE TANK,2022921,See Environmental Permit Dataset,MARATHON GAS & FOOD,0001,STEEL,SINGLE,GASOLINE,10000,,,,"10301 S HALSTED, REMOVED 02/15/2008,  Historic data from former Dept. of Environment [ Tank Leak Protection: Automatic Tank Gauging; Tank Spill Prevention: Spill containment in place; Tank Corrosion Protection: Cathodic Protection; Tank Overfill Protection: Automatic Shut-off; Piping Type: Pressurized Piping; Piping Leak Protection: Automatic line leak detector; Piping Corrosion Protection: FRP/DW; Piping Wall: Double; Pipe Material: FRP; Stage 2: Y; Red Tag: N; Associated Permit Numbers: 109540     109540; ]",DEPT. OF PUBLIC HEALTH,41.70682864600301,-87.64268458756388,POINT (-87.64268458756388 41.70682864600301),6.446075407107922,"South Halsted Street, Chicago, IL 60643, United States of America",41.7068405,-87.6427626,South Halsted Street,,South Halsted Street,60643,,Roseland,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
105 E DELAWARE PL,105,105,E,DELAWARE,PL,UNDERGROUND STORAGE TANK,105DELA1992-06-01,,CNA INSURANCE,,,,,,06/01/1992,,,WORK BY: HERITAGE REMEDIATION; FILL IN PLACE (2)3500 FINAL 8/19/92,HISTORIC DEPT. OF BUILDINGS,41.89907578039763,-87.62580952351014,POINT (-87.62580952351014 41.89907578039763),0,"The Whitehall Hotel, 105 East Delaware Place, Chicago, IL 60611, United States of America",41.898932849999994,-87.62571565508456,The Whitehall Hotel,105,East Delaware Place,60611,Magnificent Mile,Near North Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13623 S HOXIE AVE,13623,13623,S,HOXIE,AVE,UNDERGROUND STORAGE TANK,2000553,See Environmental Permit Dataset,SUNSET MARINA,0001,COMPOSITE,DOUBLE,GASOLINE,10000,06/06/2006,,,"IN COMPLIANCE,  Historic data from former Dept. of Environment [ Tank Leak Protection: Inventory Control; Tank Spill Prevention: Spill Containment Manhole; Tank Corrosion Protection: Composite gassteel II tank; Tank Overfill Protection: Drop Tube Valve; Piping Type: Pressurized Piping; Piping Corrosion Protection: Flexible piping; Piping Wall: Double; Pipe Material: FLEXIBLE; Associated Permit Numbers: 108784  108784; ]",DEPT. OF PUBLIC HEALTH,41.64749626213988,-87.56038426748167,POINT (-87.56038426748167 41.64749626213988),0,"Sunset Bay Marina, 13620 South Hoxie Avenue, Chicago, IL 60633, United States of America",41.64738545,-87.56034870366679,Sunset Bay Marina,13620,South Hoxie Avenue,60633,,Hegewisch,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1400 S JEFFERSON ST,1400,1400,S,JEFFERSON,ST,UNDERGROUND STORAGE TANK,1400JEF1981-08-19,,UNITED PARCEL SERVICE,,,,,,08/19/1981,,,WORK BY: ROBERT YOUNG INC.; REMOVE 1-10K GAL GSLN TANK               FINAL  12/15/81,HISTORIC DEPT. OF BUILDINGS,41.86350135244771,-87.64220950077579,POINT (-87.64220950077579 41.86350135244771),0,"UPS Chicago Hub, 1252-1414 South Jefferson Street, Chicago, IL 60607, United States of America",41.86463955,-87.6429162560535,UPS Chicago Hub,1252-1414,South Jefferson Street,60607,,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1015 W PERSHING RD,1015,1015,W,PERSHING,RD,UNDERGROUND STORAGE TANK,1015PER1990-04-11,,PERSHING PARTNERSHIP,,,,,,04/11/1990,,,WORK BY: ACCURATE PUMP & TANK; REMOVE 1-550G W.O. TANK,HISTORIC DEPT. OF BUILDINGS,41.82327537567973,-87.65139997185027,POINT (-87.65139997185027 41.82327537567973),64.67799990199295,"Vienna Beef, 3822 South Morgan Street, Chicago, IL 60609, United States of America",41.823841,-87.651582,Vienna Beef,3822,South Morgan Street,60609,Chicago,Bridgeport,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1939 W 35TH ST,1939,1939,W,35TH,ST,UNDERGROUND STORAGE TANK,1939W351951-05-04,,HENRY GRIEDBRICK,,,,,,05/04/1951,,,WORK BY: MAYOR'S TANK & HEATING; INSTALL 1-2K GAL FUEL OIL TANK            FINAL  7/13/51,HISTORIC DEPT. OF BUILDINGS,41.83028986008544,-87.67437288421814,POINT (-87.67437288421814 41.83028986008544),5.558200537908748,"3506-3508 South Winchester Avenue, Chicago, IL 60609, United States of America",41.83022675,-87.67424232987591,,3506-3508,South Winchester Avenue,60609,Ducktown,McKinley Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1133 N LA SALLE ST,1133,1133,N,LA SALLE,ST,UNDERGROUND STORAGE TANK,1133NLA1952-09-03,,CHURCH OF THE ASSENSION,,,,,,09/03/1952,,,WORK BY: MIDWEST HEATING; INSTALL 1-5K F.O.,HISTORIC DEPT. OF BUILDINGS,41.90286918969723,-87.63274026914819,POINT (-87.63274026914819 41.90286918969723),4.204738415103169,"Church of the Ascension, 1133 West Elm Street, Chicago, IL 60610, United States of America",41.90292145,-87.6324427103832,Church of the Ascension,1133,West Elm Street,60610,River North,Near North Side,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1601 N MILWAUKEE AVE,1601,1601,N,MILWAUKEE,AVE,UNDERGROUND STORAGE TANK,1601MIL1958-09-15,,FAIRFIELD SAVING,,,,,,09/15/1958,,,WORK BY: MIDWEST HEATING; INSTALL 1-7.5K F.O.,HISTORIC DEPT. OF BUILDINGS,41.91060813766019,-87.67757727904994,POINT (-87.67757727904994 41.91060813766019),4.034407985285514,"Noel State Bank Building, 1601 North Milwaukee Avenue, Chicago, IL 60647, United States of America",41.9108595,-87.67781235058227,Noel State Bank Building,1601,North Milwaukee Avenue,60647,Chicago,West Town,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1940 W 33RD ST,1940,1940,W,33RD,ST,UNDERGROUND STORAGE TANK,2008772,See Environmental Permit Dataset,DAYTON FREIGHT,0006,,,HEATING OI,1000,,,,"1940 W 33RD ST, REMOVED 10/05/98,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 104241; ]",DEPT. OF PUBLIC HEALTH,41.83414738752838,-87.67459785643622,POINT (-87.67459785643622 41.83414738752838),21.037464497375144,"Fifth Third Bank, 1950 West 33rd Street, Chicago, IL 60608, United States of America",41.83443505,-87.67471285039221,Fifth Third Bank,1950,West 33rd Street,60608,Ducktown,McKinley Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1818 E 71ST ST,1818,1818,E,71ST,ST,UNDERGROUND STORAGE TANK,2016109,See Environmental Permit Dataset,FIRESTONE,0003,,,GASOLINE,2000,,,," ",DEPT. OF PUBLIC HEALTH,41.76630884827853,-87.58038777021497,POINT (-87.58038777021497 41.76630884827853),3.182742242216869,"ABJ Community Services, 1818 East 71st Street, Chicago, IL 60649, United States of America",41.76656465,-87.58041469062945,ABJ Community Services,1818,East 71st Street,60649,Chicago,South Shore,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11204 S STATE ST,11204,11206,S,STATE,ST,UNDERGROUND STORAGE TANK,11204ST1950-11-21,,PRESBYTERIAN CHURCH RESIDENCE,,,,,,11/21/1950,,,WORK BY: FORD & PHILLIPS; INSTALL 1-2K FUEL OIL,HISTORIC DEPT. OF BUILDINGS,41.69058821802832,-87.62319362817061,POINT (-87.62319362817061 41.69058821802832),2.5961969569573933,"Roseland Presbyterian Church, 11200 South State Street, Chicago, IL 60628, United States of America",41.69060985,-87.62341564814956,Roseland Presbyterian Church,11200,South State Street,60628,Chicago,Roseland,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2323 N DAMEN AVE,2323,2323,N,DAMEN,AVE,UNDERGROUND STORAGE TANK,2323DAM1973-11-15,,VINCE RACINE,,,,,,11/15/1973,,,WORK BY: H. M. BOLES & SONS; GLASS ARMOR 1-3K & 1-4K GAL GASLN      FINAL 1/10/74,HISTORIC DEPT. OF BUILDINGS,41.92358019241754,-87.67768588890316,POINT (-87.67768588890316 41.92358019241754),0,"2323 North Damen Avenue, Chicago, IL 60647, United States of America",41.92360525,-87.67765015191358,,2323,North Damen Avenue,60647,Bucktown,Logan Square,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1424 S ALBANY AVE,1424,1424,S,ALBANY,AVE,UNDERGROUND STORAGE TANK,1424ALB1948-06-11,,DOUGLAS PARK DAY NURSERY,,,,,,06/11/1948,,,WORK BY: N/G; INSTALL 1-(2K) FUEL OIL. COMPLETED 7/9/48,HISTORIC DEPT. OF BUILDINGS,41.861711108303616,-87.70317146926239,POINT (-87.70317146926239 41.861711108303616),0,"Johnson Elementary School, 1420 South Albany Avenue, Chicago, IL 60623, United States of America",41.8619252,-87.7034631074428,Johnson Elementary School,1420,South Albany Avenue,60623,,North Lawndale,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
234 E 24TH ST,234,234,E,24TH,ST,UNDERGROUND STORAGE TANK,2015933,See Environmental Permit Dataset,BRINKS BUILDING,0001,,,HEATING OI,5000,,,10/15/1981,"234 E 24TH ST, REMOVED 8/30/04,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 108115     108115; ]",DEPT. OF PUBLIC HEALTH,41.84943951993003,-87.62081000101645,POINT (-87.62081000101645 41.84943951993003),0,"McCormick Place Convention Center, 2301 South Doctor Martin Luther King Junior Drive, Chicago, IL 60616, United States of America",41.850048099999995,-87.61594703971302,McCormick Place Convention Center,2301,South Doctor Martin Luther King Junior Drive,60616,,Near South Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1211 S WESTERN AVE,1211,1227,S,WESTERN,AVE,UNDERGROUND STORAGE TANK,1211WES1947-03-11,,HESO WARMING & VENTILATION,,,,,,03/11/1947,,,"WORK BY: OWNER; INSPECT 1-1.4K,1-1.2K F.O.",HISTORIC DEPT. OF BUILDINGS,41.866255023422895,-87.68588193017985,POINT (-87.68588193017985 41.866255023422895),7.921132959298692,"1211 South Western Avenue, Chicago, IL 60612, United States of America",41.865893400000004,-87.68575161383886,,1211,South Western Avenue,60612,Claremont Cottages Historic District,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2035 N PULASKI RD,2035,2035,N,PULASKI,RD,UNDERGROUND STORAGE TANK,2035PUL1974-09-12,,P. S. W. INDUSTRIES,,,,,,09/12/1974,,,WORK BY: SHEFFIELD TANK; INSTALL 1-6K GAL HTG OIL TANK             FINAL  10/7/74,HISTORIC DEPT. OF BUILDINGS,41.9182448450123,-87.72644695954226,POINT (-87.72644695954226 41.9182448450123),0,"Dunkin', 2035 North Pulaski Road, Chicago, IL 60647, United States of America",41.9183106,-87.72639156571046,Dunkin',2035,North Pulaski Road,60647,,Hermosa,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12301 S INDIANA AVE,12301,12301,S,INDIANA,AVE,UNDERGROUND STORAGE TANK,12301IN1992-03-06,,METRA RAIL,,,,,,03/06/1992,,,WORK BY: WENDORF CONSTRUCTION; INSTALL 2-10K DIESEL OIL TANKS            FINAL  N/G,HISTORIC DEPT. OF BUILDINGS,41.67074507024713,-87.6172256298685,POINT (-87.6172256298685 41.67074507024713),37.19130282931407,"12300 South Indiana Avenue, Chicago, IL 60628, United States of America",41.67065915,-87.61776583959816,,12300,South Indiana Avenue,60628,Chicago,West Pullman,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1044 N FRANCISCO AVE,1044,1044,N,FRANCISCO,AVE,UNDERGROUND STORAGE TANK,1044FRA1946-11-21,,NORWEGIAN AMERICAN HOSPITAL,,,,,,11/21/1946,,,WORK BY: WATER TUBE BOILER & TANK; INSTALL 1-10K GAL FUEL OIL TANK         FINAL  3/11/47,HISTORIC DEPT. OF BUILDINGS,41.900524957170965,-87.69943295362468,POINT (-87.69943295362468 41.900524957170965),0,"Humboldt Park Health, 1044 North Francisco Avenue, Chicago, IL 60622, United States of America",41.90143595,-87.69965895765341,Humboldt Park Health,1044,North Francisco Avenue,60622,Smith Park,West Town,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1746 W 79TH ST,1746,1746,W,79TH,ST,UNDERGROUND STORAGE TANK,1746W791953-03-27,,P. BANNO,,,,,,03/27/1953,,,WORK BY: BARTOLOMEO; INSPECT 2-275 GAL FUEL OIL TANK          FINAL  2/2/54,HISTORIC DEPT. OF BUILDINGS,41.75040934377114,-87.66772975719857,POINT (-87.66772975719857 41.75040934377114),0,"1744-1748 West 79th Street, Chicago, IL 60652, United States of America",41.7504616,-87.66773636552159,,1744-1748,West 79th Street,60652,South Englewood,Auburn Gresham,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1039 W WILLOW ST,1039,1039,W,WILLOW,ST,UNDERGROUND STORAGE TANK,1039WIL1972-11-04,,FERGUSON LANG FOUNDRY & COMPANY,,,,,,11/04/1972,,,WORK BY: KENNEY TANK; INSTALL 1-1K GAL NAPTHA UST                FINAL  1/31/73,HISTORIC DEPT. OF BUILDINGS,41.912858229505034,-87.65447469871272,POINT (-87.65447469871272 41.912858229505034),8.62853430368113,"1000 West North Avenue, Chicago, IL 60642, United States of America",41.91224135,-87.65480676654663,,1000,West North Avenue,60642,Ranch Triangle,Lincoln Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1231 S ASHLAND ",1231,,S,ASHLAND,,UNDERGROUND STORAGE TANK,1231ASH,"See Environmental Permit Dataset ",STANDARD OIL,0003,,,GASOLINE,3000,,,," ",DEPT. OF PUBLIC HEALTH,41.8660353024948,-87.66622297429048,POINT (-87.66622297429048 41.8660353024948),26.132399733458225,"1552 West Washburne Avenue, Chicago, IL 60608, United States of America",41.866261,-87.666135,,1552,West Washburne Avenue,60608,Chicago,Little Italy,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1111 E 83RD ST,1111,1111,E,83RD,ST,UNDERGROUND STORAGE TANK,1.11E+861990-06-18,,WASHINGTON TERRACE LIMITED PARTSHIP,,,,,,06/18/1990,,,WORK BY: MARS ENVIRONMENT; REMOVE 2-10K 1-1K FINAL 9/27/90,HISTORIC DEPT. OF BUILDINGS,41.74395332985581,-87.59720684179055,POINT (-87.59720684179055 41.74395332985581),8.777833952068807,"1133 East 83rd Street, Chicago, IL 60619, United States of America",41.743835000000004,-87.59711083605185,,1133,East 83rd Street,60619,Pierces Park,Avalon Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1225 W MORSE AVE,1225,1225,W,MORSE,AVE,UNDERGROUND STORAGE TANK,1225MOR1992-02-06,,DANA MORRISON COMPANY,,,,,,02/06/1992,,,WORK BY: COMPLIANCE ENGINEERING; INSTALL 2-1M HEAT OIL,HISTORIC DEPT. OF BUILDINGS,42.00785217633035,-87.6627470160783,POINT (-87.6627470160783 42.00785217633035),0.3810860724526882,"1221-1225 West Morse Avenue, Chicago, IL 60626, United States of America",42.00762245,-87.66271331763735,,1221-1225,West Morse Avenue,60626,Glenwood Arts District,Rogers Park,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1801 W CHICAGO AVE,1801,1801,W,CHICAGO,AVE,UNDERGROUND STORAGE TANK,1801CHI1969-06-27,,DIVISION CHEVROLET,,,,,,06/27/1969,,,WORK BY: LEA LAUERMAN; INSPECT 1-1K GAL GASLN; SANDFILL EXISTING TANKS FIN. 7/11/69,HISTORIC DEPT. OF BUILDINGS,41.89587988522851,-87.67229144942195,POINT (-87.67229144942195 41.89587988522851),0,"1801 West Chicago Avenue, Chicago, IL 60622, United States of America",41.8957094,-87.67250862065423,,1801,West Chicago Avenue,60622,East Village,West Town,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1839 N LONG AVE,1839,1839,N,LONG,AVE,UNDERGROUND STORAGE TANK,2044231,See Environmental Permit Dataset,ALL AMERICAN MANUFACTURING,0004,,,HEATING OI,1000,,,12/31/1973,"REMOVED 5/12/0169,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 109913     109913; ]",DEPT. OF PUBLIC HEALTH,41.914245556212514,-87.76058318769593,POINT (-87.76058318769593 41.914245556212514),0.3774244400389404,"1839 North Long Avenue, Chicago, IL 60639, United States of America",41.91439275,-87.76036297651822,,1839,North Long Avenue,60639,Chicago,Austin,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1004 N ELSTON AVE,1004,1004,N,ELSTON,AVE,UNDERGROUND STORAGE TANK,1004ELS1952-03-14,,YELLOW CAB COMPANY,,,,,,03/14/1952,,,"WORK BY: AUTOMATIC TANK WORKS; INSTALL 1-10K GASLN, 2-1K LUBE OIL, 1-1K WO   FINAL 10/28/52",HISTORIC DEPT. OF BUILDINGS,41.90003357876605,-87.65679865052087,POINT (-87.65679865052087 41.90003357876605),5.394264327269384,"Elston Avenue Bikeway, Chicago, IL 60642, United States of America",41.9006128,-87.6567534,Elston Avenue Bikeway,,Elston Avenue Bikeway,60642,River West,West Town,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1601 W 71ST ST,1601,1611,W,71ST,ST,UNDERGROUND STORAGE TANK,1601W711969-08-26,,UNION OIL COMPANY,,,,,,08/26/1969,,,"WORK BY: H. M. BOLES & SONS; INSTALL 2-10K FBGLS GSLN, 1-550 W.O. & 1-550 F.O. CANCELLED",HISTORIC DEPT. OF BUILDINGS,41.76479878031518,-87.66385615484663,POINT (-87.66385615484663 41.76479878031518),36.29980533190403,"7100 South Ashland Avenue, Chicago, IL 60636, United States of America",41.76473,-87.664284,,7100,South Ashland Avenue,60636,Chicago,West Englewood,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1801 N ROCKWELL ST,1801,1801,N,ROCKWELL,ST,UNDERGROUND STORAGE TANK,2038743,See Environmental Permit Dataset,VACANT LOT,0002,,,HEATING OI,10000,,,," ",DEPT. OF PUBLIC HEALTH,41.913994621405614,-87.69205727773165,POINT (-87.69205727773165 41.913994621405614),4.427450588414532,"2558 West Bloomingdale Avenue, Chicago, IL 60647, United States of America",41.91408665,-87.69202181359714,,2558,West Bloomingdale Avenue,60647,Chicago,Logan Square,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
127 S WABASH AVE,127,127,S,WABASH,AVE,UNDERGROUND STORAGE TANK,127WABA1972-09-01,,NORTHERN TRUST,,,,,,09/01/1972,,,"WORK BY: TURNER CONSTRUCTION; INSPECT 1-2.5K DIESEL, 1-400G DRY STORAGE",HISTORIC DEPT. OF BUILDINGS,41.88013599879439,-87.62600387868773,POINT (-87.62600387868773 41.88013599879439),4.118919660290578,"Mid-Continental Plaza, 55 East Monroe Street, Chicago, IL 60603, United States of America",41.88015335,-87.6256457557786,Mid-Continental Plaza,55,East Monroe Street,60603,Lakeshore East,Loop,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1647 N LA SALLE DR,1647,1647,N,LA SALLE,DR,UNDERGROUND STORAGE TANK,2022987,See Environmental Permit Dataset,ARCHWAY OIL/BP,0004,FRP,SINGLE,GASOLINE-,10000,,,,"1647 N LASALLE, IN COMPLIANCE,  Historic data from former Dept. of Environment [ Tank Leak Protection: Automatic Tank Gauging; Tank Spill Prevention: Spill Containment Manhole; Tank Corrosion Protection: FRP; Tank Overfill Protection: Drop Tube Valve; Piping Type: Pressurized Piping; Piping Leak Protection: Leak detection/Alarm; Piping Corrosion Protection: FRP; Piping Wall: Single; Pipe Material: FRP; Stage 2: Y; Red Tag: N; Associated Permit Numbers: 109998    109998; ]",DEPT. OF PUBLIC HEALTH,41.91250323945166,-87.6330119328754,POINT (-87.6330119328754 41.91250323945166),6.498408062630073,"BP, 1647 North LaSalle Drive, Chicago, IL 60614, United States of America",41.91263795,-87.6328431760435,BP,1647,North LaSalle Drive,60614,Old Town Triangle,Lincoln Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2321 N BOSWORTH AVE,2321,2321,N,BOSWORTH,AVE,UNDERGROUND STORAGE TANK,2026532,See Environmental Permit Dataset,MARKET NATIONAL BANK TRUST,0002,,,SILICON,4000,,,," ",DEPT. OF PUBLIC HEALTH,41.924236926257656,-87.66680751866616,POINT (-87.66680751866616 41.924236926257656),0,"2321 North Bosworth Avenue, Chicago, IL 60614, United States of America",41.9241973,-87.66678702871143,,2321,North Bosworth Avenue,60614,West DePaul,Lincoln Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
